food_name,calories,protein,fat,carbohydrates
adhirasam,0,0,0,0
aloo_gobi,0,0,0,0
aloo_matar,0,0,0,0
aloo_methi,0,0,0,0
aloo_shimla_mirch,0,0,0,0
aloo_tikki,0,0,0,0
anarsa,0,0,0,0
ariselu,0,0,0,0
bandar_laddu,0,0,0,0
basundi,0,0,0,0
bhatura,0,0,0,0
bhindi_masala,0,0,0,0
biryani,0,0,0,0
boondi,0,0,0,0
butter_chicken,0,0,0,0
chak_hao_kheer,0,0,0,0
cham_cham,0,0,0,0
chana_masala,0,0,0,0
chapati,0,0,0,0
chhena_kheeri,0,0,0,0
chicken_razala,0,0,0,0
chicken_tikka,0,0,0,0
chicken_tikka_masala,0,0,0,0
chikki,0,0,0,0
daal_baati_churma,0,0,0,0
daal_puri,0,0,0,0
dal_makhani,0,0,0,0
dal_tadka,0,0,0,0
dharwad_pedha,0,0,0,0
doodhpak,0,0,0,0
double_ka_meetha,0,0,0,0
dum_aloo,0,0,0,0
gajar_ka_halwa,0,0,0,0
gavvalu,0,0,0,0
ghevar,0,0,0,0
gulab_jamun,0,0,0,0
imarti,0,0,0,0
jalebi,0,0,0,0
kachori,0,0,0,0
kadai_paneer,0,0,0,0
kadhi_pakoda,0,0,0,0
kajjikaya,0,0,0,0
kakinada_khaja,0,0,0,0
kalakand,0,0,0,0
karela_bharta,0,0,0,0
kofta,0,0,0,0
kuzhi_paniyaram,0,0,0,0
lassi,0,0,0,0
ledikeni,0,0,0,0
litti_chokha,0,0,0,0
lyangcha,0,0,0,0
maach_jhol,0,0,0,0
makki_di_roti_sarson_da_saag,0,0,0,0
malapua,0,0,0,0
misi_roti,0,0,0,0
misti_doi,0,0,0,0
modak,0,0,0,0
mysore_pak,0,0,0,0
naan,0,0,0,0
navrattan_korma,0,0,0,0
palak_paneer,0,0,0,0
paneer_butter_masala,0,0,0,0
phirni,0,0,0,0
pithe,0,0,0,0
poha,0,0,0,0
poornalu,0,0,0,0
pootharekulu,0,0,0,0
qubani_ka_meetha,0,0,0,0
rabri,0,0,0,0
ras_malai,0,0,0,0
rasgulla,0,0,0,0
sandesh,0,0,0,0
shankarpali,0,0,0,0
sheer_korma,0,0,0,0
sheera,0,0,0,0
shrikhand,0,0,0,0
sohan_halwa,0,0,0,0
sohan_papdi,0,0,0,0
sutar_feni,0,0,0,0
unni_appam,0,0,0,0
